시군명,사업장명,소재지우편번호,소재지도로명주소,소재지지번주소,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,WGS84위도,WGS84경도,구명,읍면동명,리계,나머지주소,도명
부천시,아이KiKi,14408,"경기도 부천시 역곡로 488, 한동빌딩 3층 (고강동)",경기도 부천시 고강동 349-1 한동빌딩 ,2019-06-14,폐업,2023-06-01,N,93.6,,키즈카페,37.5281418632,126.816345072,,고강동,,349-1 한동빌딩,경기도
부천시,노리파크 역곡점,14671,"경기도 부천시 역곡로13번길 49, 금강빌딩 4층 일부호 (역곡동)",경기도 부천시 역곡동 78 금강빌딩 4층일부호,20220928,영업,,N,23.85,,키즈카페,37.4854829438,126.8089293527,,역곡동,,78 금강빌딩 4층일부호,경기도
부천시,큐리프리미엄키즈카페,14504,"경기도 부천시 도약로 19, 동양프라자 3층 (상동)",경기도 부천시 상동 523-2 동양프라자 3층,20190510,영업,,N,20.7,,키즈카페,37.5128310191,126.7514337126,,상동,,523-2 동양프라자 3층,경기도
부천시,퍼센트(percent),14545,"경기도 부천시 송내대로 239, 부천터미널소풍 지하2층 D02호 (상동)",경기도 부천시 상동 539-1번지 부천터미널소풍 D02호,20190807,영업,,N,34.14,,키즈카페,37.5041752477,126.7566905848,,상동,,539-1번지 부천터미널소풍 D02호,경기도
부천시,쭈퐁,14549,"경기도 부천시 신흥로 178 (중동, 위브더스테이트 상가3동 213호 일부)",경기도 부천시 중동 1109 위브더스테이트 상가3동 213호 일부,20140228,폐업,20211129,N,141.78,,키즈카페,37.4995373872,126.777688564,,중동,,1109 위브더스테이트 상가3동 213호 일부,경기도
부천시,리틀이태리,14548,"경기도 부천시 중동로254번길 90 (중동, 부천시공영노외주차장(4호) 3층일부)",경기도 부천시 중동 1143-4번지 부천시공영노외주차장(4호) 3층일부,20100319,폐업,20200618,N,110.29,,키즈카페,37.501495818,126.7736873538,,중동,,1143-4번지 부천시공영노외주차장(4호) 3층일부,경기도
부천시,푸드플레이그라운드,14592,"경기도 부천시 조마루로 2, 스포츠센타동 (상동, 부천체육문화센타 FA101호일부)",경기도 부천시 상동 572-1번지 부천체육문화센타 FA101호일부 스포츠센타동,20121023,폐업,20181008,N,450.93,,키즈카페,37.499869098,126.7442661118,,상동,,572-1번지 부천체육문화센타 FA101호일부 스포츠센타동,경기도
부천시,차타타레이싱키즈카페옥길점,14789,"경기도 부천시 범안로 231-15, 6층 604호 일부호 (옥길동)",경기도 부천시 옥길동 777-2 604호,20191226,폐업,20200925,N,71.2,,키즈카페,37.4624324108,126.8130653042,,옥길동,,777-2 604호,경기도
성남시,플렉스 키즈 정자점,463-834,"경기도 성남시 분당구 내정로17번길 2, 한솔프라자 지하1층 1002-1호 (정자동)",경기도 성남시 분당구 정자동 127-6 한솔프라자 지하1층 1002-1호 ,2023-06-19,영업,,N,0.0,,키즈카페,37.362134118,127.1144773386,분당구,정자동,,127-6 한솔프라자 지하1층 1002-1호,경기도
성남시,플렉스 키즈 수내점,463-825,"경기도 성남시 분당구 황새울로258번길 19, 한산이씨봉화공파종중회관 지하1층 일부호 (수내동)",경기도 성남시 분당구 수내동 6-1 한산이씨봉화공파종중회관 지하1층 일부호 ,2023-06-19,영업,,Y,190.45,,키즈카페,37.379766092,127.117549793,분당구,수내동,,6-1 한산이씨봉화공파종중회관 지하1층 일부호,경기도
