,Unnamed: 0,행정동,경도,위도,subway_최소거리(m),500m지하철역개수,bus_최소거리(m),500m버스정류장개수,badplace_최소거리(m),500m술집개수,parking_최소거리(m),500내주차장개수,300m보호구역여부,200m위험구역여부,cluster
1553,1553,광장동,127.102315284156,37.545744243173,142.783397798779,1,76.9118691324613,8,76.0630069302058,9,89.0152461685945,1,1,1,3
1554,1554,광장동,127.102310495841,37.5466455810076,166.694249667482,1,21.2197417165227,7,75.6704106271864,9,77.5931900038888,1,1,0,2
1555,1555,광장동,127.102305707312,37.5475469187037,206.191001159599,1,48.091681337869,7,113.992172948879,7,106.982422543257,1,1,0,2
1556,1556,광장동,127.102300918569,37.5484482562614,254.106987744468,1,107.252165527071,5,165.34216794924,7,155.554862071508,2,1,0,2
1557,1557,광장동,127.102296129614,37.5493495936806,306.518945456151,1,167.394513941882,5,216.699615639331,5,210.420832025492,1,1,0,2
1558,1558,광장동,127.102291340445,37.5502509309614,361.47646028805696,0,227.742163305672,4,271.8588228773,3,267.738804264708,0,1,0,0
1559,1559,광장동,127.102286551063,37.5511522681037,417.976623439492,0,288.166150383326,3,328.912625544213,1,326.218840138465,0,1,0,0
1560,1560,광장동,127.102281761467,37.5520536051075,475.469807026625,0,348.626776663719,0,387.024036318207,0,385.332212352048,0,0,0,1
1561,1561,광장동,127.102276971658,37.5529549419729,533.63514180438,0,409.107791122627,0,445.779634105378,0,444.826492267012,0,1,0,1
1562,1562,광장동,127.102272181635,37.5538562786999,592.27462678573,0,469.601310205157,0,504.954593994616,0,497.531951499253,0,1,0,1
1563,1563,광장동,127.1022673914,37.5547576152883,651.260192671598,0,530.103047569756,0,562.958032130554,0,542.353103748973,0,0,0,1
1564,1564,광장동,127.10226260095,37.5556589517383,710.50564664338,0,590.610472745266,0,617.41030721533,0,570.33932360497,0,0,0,1
1577,1577,광장동,127.103499804139,37.5358333235716,635.980253825326,0,474.51560726780497,0,599.832579816946,0,740.80177333586,0,0,0,1
1578,1578,광장동,127.103495031791,37.5367346630522,575.463647019956,0,421.057771982999,0,543.743638041845,0,682.770835500577,0,0,0,1
1579,1579,광장동,127.103490259231,37.53763600239449,514.950545051981,0,369.786433351403,1,488.715595587604,0,625.214006479498,0,0,0,1
1580,1580,광장동,127.103485486459,37.5385373415982,454.442341735698,0,321.748555013441,2,433.79612560311,1,568.27535748618,0,0,0,1
1581,1581,광장동,127.103480713473,37.5394386806636,393.941287069251,0,278.621644367319,3,373.725583988111,1,512.161099819969,0,1,0,0
1582,1582,광장동,127.103475940275,37.5403400195905,333.451263629367,0,241.217493730308,3,313.832054070474,4,457.174888757526,0,1,0,0
1583,1583,광장동,127.103471166865,37.5412413583789,272.979594316686,1,181.545856329579,4,254.240655616495,5,403.777830525334,0,1,0,0
1584,1584,광장동,127.103466393242,37.542142697029,212.541932403298,1,122.718939226678,4,195.228237776959,8,352.692442487888,0,1,0,0
1585,1585,광장동,127.103461619406,37.5430440355405,152.178782500339,1,66.9999540536658,5,137.542044525434,8,305.082187096945,0,1,1,3
1586,1586,광장동,127.103456845358,37.5439453739136,92.0368384469554,1,35.2995697223579,7,83.961615073423,9,262.842303269165,0,1,1,3
1587,1587,광장동,127.103452071096,37.5448467121483,33.3355766705718,1,48.9910538775219,8,50.0926689574337,10,228.964538250004,1,1,1,3
1588,1588,광장동,127.103447296623,37.5457480502445,32.8606031912031,1,33.631722366071,8,57.0091104548953,11,207.584164446186,1,1,1,3
1589,1589,광장동,127.103442521936,37.5466493882023,91.5229458616752,1,84.7942844485415,6,27.9982585091998,9,202.695207936879,2,1,0,2
1590,1590,광장동,127.103437747037,37.5475507260216,151.661287347949,1,119.594094219792,7,75.1383583350382,10,215.423397121113,2,1,0,2
1591,1591,광장동,127.103432971925,37.5484520637025,212.023354612832,1,152.938333902993,6,133.55015609508,9,223.039760022,2,1,0,2
1592,1592,광장동,127.1034281966,37.5493534012449,272.460482197727,1,199.512866439541,6,189.557408655811,8,228.653537411751,1,1,0,2
1593,1593,광장동,127.103423421063,37.5502547386489,332.931786903074,0,252.088261015777,4,236.926686311003,4,249.292057193067,1,1,0,2
1594,1594,광장동,127.103418645313,37.5511560759144,393.421502069018,0,307.602748122212,4,289.248561873026,1,281.671790664463,0,0,0,0
1595,1595,광장동,127.10341386935,37.5520574130414,453.922261312886,0,358.973951205928,1,344.272323937809,0,322.272924824486,0,0,0,1
1596,1596,광장동,127.103409093174,37.55295875003,514.430162489699,0,411.213382373884,1,400.88696213646,0,368.387086240143,0,0,0,1
1597,1597,광장동,127.103404316786,37.5538600868801,574.942945742471,0,465.466333571179,0,458.503538667275,0,418.194468686041,0,0,0,1
1598,1598,광장동,127.103399540184,37.5547614235918,635.459211853822,0,521.104286540147,0,516.787038324909,0,470.523684142922,0,0,0,1
1599,1599,광장동,127.10339476337,37.555662760165,695.978048191475,0,577.727227510151,0,575.534877063812,0,524.620635016425,0,0,0,1
1600,1600,광장동,127.103389986344,37.5565640965997,756.498834129239,0,635.071742271477,0,634.618109144974,0,579.990886093584,0,0,0,1
1607,1607,광장동,127.104626908212,37.53673845804391,587.066339378485,0,496.588020653822,0,580.081274006198,0,730.845533451148,0,0,0,1
1608,1608,광장동,127.104622149276,37.5376397975089,527.78606850597,0,450.870060710507,0,522.710086004549,0,677.309192930538,0,0,0,1
1609,1609,광장동,127.104617390127,37.5385411368355,468.82586196708496,0,394.92904990788304,2,466.139026122689,0,625.050609159358,0,0,0,1
1610,1610,광장동,127.104612630766,37.5394424760236,410.3237079877,0,340.561771261754,2,410.698857714169,0,574.418620514987,0,0,0,1
1611,1611,광장동,127.104607871193,37.5403438150733,352.507727370815,0,288.658799763927,3,356.916948959928,0,525.883256878297,0,0,0,1
1612,1612,광장동,127.104603111408,37.5412451539846,295.780561724445,1,240.818804615483,4,305.669848272824,4,480.080829768167,0,1,0,0
1613,1613,광장동,127.104598351411,37.5421464927574,240.912573630168,1,199.97923955474,4,258.469706299303,7,437.869792989114,0,1,0,0
1614,1614,광장동,127.104593591201,37.5430478313918,189.52539264792,1,171.224693765789,6,199.081370955449,8,385.72676537792495,0,1,1,3
1615,1615,광장동,127.10458883078,37.5439491698877,145.358707871993,1,161.159205284139,7,138.970405745438,10,327.484296625502,0,1,1,3
