,Unnamed: 0,행정동,경도,위도,subway_최소거리(m),500m지하철역개수,bus_최소거리(m),500m버스정류장개수,badplace_최소거리(m),500m술집개수,parking_최소거리(m),500내주차장개수,300m보호구역여부,200m위험구역여부,cluster
809,809,자양2동,127.085439919506,37.5267577480553,694.723980074154,0,388.188314793916,0,290.032249426224,4,296.607707546677,8,0,0,1
810,810,자양2동,127.085434931423,37.5276590869083,634.459570235657,0,327.700629723536,1,237.796658068059,7,289.005231706296,10,0,0,1
811,811,자양2동,127.085429943118,37.5285604256229,574.246134230812,0,267.221368238289,2,190.519341769168,11,261.711742467136,9,0,0,1
812,812,자양2동,127.085424954591,37.5294617641989,514.101577430462,0,206.757908404904,3,152.871864276355,12,239.109557539747,2,1,0,3
813,813,자양2동,127.085419965842,37.5303631026365,454.053265766629,0,146.32981935664,4,111.642798994785,12,184.922851891392,2,1,0,3
814,814,자양2동,127.085414976871,37.5312644409356,394.145183366396,0,86.0116495437734,5,66.8203043750499,17,131.393129034493,3,1,0,3
815,815,자양2동,127.085409987677,37.5321657790962,334.452684764436,0,26.5629504880811,5,25.6001934113755,21,87.4869953459651,3,1,0,3
816,816,자양2동,127.085404998261,37.5330671171184,275.116122133754,1,36.5399733832819,7,64.5581331157273,27,73.2524082980348,4,1,0,0
817,817,자양2동,127.085400008623,37.5339684550021,216.428433171057,1,96.3677123492686,10,122.483040458852,43,101.980250230637,3,1,0,0
818,818,자양2동,127.085395018763,37.5348697927472,159.109241103708,1,118.332049819861,11,169.551190715812,52,150.851373468091,5,1,0,0
819,819,자양2동,127.08539002868,37.5357711303539,105.415020730457,1,85.4625029187235,11,125.273470528162,56,149.054883736128,4,0,0,0
820,820,자양2동,127.085385038375,37.5366724678221,65.0460516433567,1,61.013468483433506,12,64.8439307419879,53,127.750849262525,6,0,0,0
859,859,자양2동,127.086576616886,37.525860376086705,756.530038123846,0,469.271833017369,0,410.83976033443,0,323.583895381001,0,0,0,1
860,860,자양2동,127.086571642641,37.5267617152066,696.278204077322,0,411.683097142288,0,365.770723641844,2,267.040887345708,0,0,0,1
861,861,자양2동,127.086566668175,37.527663054188,636.074920569698,0,355.066336381115,0,325.743993999676,7,212.691598614724,0,0,0,1
862,862,자양2동,127.086561693487,37.5285643930309,575.935407909812,0,299.972398270323,3,286.822588654661,9,162.748804470868,1,0,0,1
863,863,자양2동,127.086556718577,37.5294657317353,515.881963417138,0,243.640708841079,3,238.101518802883,11,122.715937858988,1,1,0,3
864,864,자양2동,127.086551743446,37.5303670703013,455.948590353272,0,185.17208562642,4,195.271796041429,12,104.660376699404,2,1,0,3
865,865,자양2동,127.086546768093,37.5312684087288,396.189776330126,0,128.604408874565,5,163.987733327534,12,119.041785436287,2,1,0,3
866,866,자양2동,127.086541792519,37.5321697470178,336.698470200061,0,78.1790716779548,5,151.575177718873,17,73.3512612400725,2,1,0,3
867,867,자양2동,127.086536816723,37.5330710851684,277.646671379479,1,54.8389941513619,7,162.419955568482,22,54.6326191338299,2,1,0,3
868,868,자양2동,127.086531840705,37.5339724231804,219.389552924213,1,85.0007779932827,11,192.633312966657,39,88.9457002028944,3,1,0,0
869,869,자양2동,127.086526864466,37.534873761054,162.782552604776,1,136.986905839047,13,180.257517931411,48,140.383892379415,4,0,0,0
870,870,자양2동,127.086521888005,37.5357750987891,110.393925613811,1,193.979766466691,13,120.068324197807,53,79.8766008943095,3,0,0,0
871,871,자양2동,127.086516911322,37.5366764363857,72.0954107729622,1,176.560701635719,13,60.5176348145338,51,19.3721569481906,2,0,0,0
909,909,자양2동,127.087708326627,37.5258643322656,778.687028761227,0,485.627739894611,0,500.310024001736,0,307.847669456714,0,0,0,1
910,910,자양2동,127.087703365998,37.5267656715135,720.215280750387,0,425.868078942191,0,459.369165738115,0,247.520293123631,0,0,0,1
911,911,자양2동,127.087698405148,37.5276670106229,662.109601575503,0,366.354518220575,0,412.776758254114,2,187.310356554237,0,0,0,1
912,912,자양2동,127.087693444077,37.5285683495939,604.475561600043,0,307.230097848733,2,370.231868483042,9,127.384474231827,1,0,0,1
913,913,자양2동,127.087688482785,37.5294696884263,547.462131143839,0,248.772415800948,3,333.28812981606,9,68.4922879417286,1,1,0,3
914,914,자양2동,127.087683521272,37.5303710271204,491.28541611071296,0,191.592726189788,4,303.994522078265,10,21.8707923863674,1,1,0,3
915,915,자양2동,127.087678559537,37.5312723656759,436.268751924666,0,137.297126017551,4,284.722156786515,14,59.9016913172613,2,1,0,3
916,916,자양2동,127.087673597582,37.5321737040929,382.912484380674,0,91.1915199172701,6,277.566357829818,14,118.409589503925,2,1,0,3
917,917,자양2동,127.087668635406,37.5330750423715,332.01806372153,1,71.4418952377972,9,283.446278762874,16,178.2587460461,2,1,0,3
918,918,자양2동,127.087663673009,37.533976380511696,284.907862169916,1,95.9929595040606,11,279.270329782579,33,192.801732187389,1,1,0,0
919,919,자양2동,127.087658710391,37.5348777185133,243.785665604641,1,143.694116555774,12,229.097164469007,48,189.022523852227,2,1,0,0
920,920,자양2동,127.087653747551,37.5357790563765,212.162370149514,1,134.061458530667,13,182.226070813394,50,149.314200943844,2,1,0,0
921,921,자양2동,127.087648784491,37.5366803941011,194.722227229949,1,77.7603863299903,15,136.308293573349,53,110.872654179535,2,1,0,0
959,959,자양2동,127.088840036589,37.525868277600495,819.825227257619,0,520.13285004385,0,581.564409650167,0,341.434205646708,0,0,0,1
960,960,자양2동,127.088835089576,37.5267696169761,764.435455406688,0,464.036090206733,0,533.92717131263,0,288.038038866113,0,0,0,1
961,961,자양2동,127.088830142342,37.5276709562132,709.881978606644,0,403.743126260728,0,489.145183808179,0,238.070277373701,0,0,0,1
962,962,자양2동,127.088825194888,37.5285722953118,656.37334776782,0,343.526957961358,0,448.075346884856,2,194.195639481199,1,1,0,1
963,963,자양2동,127.088820247213,37.529473634272,604.187225953215,0,283.436525076616,3,411.82974080118896,7,161.460132236685,1,1,0,3
964,964,자양2동,127.088815299318,37.5303749730937,553.697674530194,0,223.573220445852,3,381.78483705083295,8,147.477913230666,12,1,0,3
965,965,자양2동,127.088810351203,37.5312763117769,505.413393358428,0,164.185652550973,4,359.498664619954,10,157.330932618177,14,1,0,3
966,966,자양2동,127.088805402867,37.5321776503216,460.029290827662,0,106.075863203414,5,331.59489287195,13,187.294503124452,28,1,0,3
967,967,자양2동,127.08880045431,37.5330789887279,418.489975597963,0,53.5766726248011,7,290.140850808614,14,229.626554896384,24,1,0,3
968,968,자양2동,127.088795505534,37.5339803269958,382.051601426495,1,42.5680159991003,13,256.38205690108,20,278.747893253446,24,1,0,0
969,969,자양2동,127.088790556536,37.5348816651251,352.300499641552,1,89.8710818901293,14,233.677779331786,33,249.222308019767,11,1,0,0
970,970,자양2동,127.088785607319,37.535783003116,331.04456128513,1,128.947544901698,15,207.789731940304,43,195.036031015661,2,1,0,0
971,971,자양2동,127.08878065788,37.5366843409684,319.981247686139,1,78.2811387743311,15,154.166576812526,50,145.908650762468,2,1,0,0
972,972,자양2동,127.088775708222,37.5375856786823,320.168905726386,1,54.327263934529,14,98.5467564013465,54,108.915544951796,3,1,0,0
1009,1009,자양2동,127.089966813374,37.5267735515943,766.498251086539,0,471.983182858157,0,463.834587275938,0,356.756534292977,0,0,0,1
1010,1010,자양2동,127.089961879757,37.5276748909587,723.977217343809,0,412.72176130480307,0,411.361947867354,0,309.261285088012,0,0,0,1
1011,1011,자양2동,127.089956945919,37.5285762301847,684.171653052226,0,353.883883941083,0,361.412067922555,0,267.083770625706,0,1,0,1
1012,1012,자양2동,127.089952011862,37.5294775692722,647.58249046181,0,295.722458195536,2,315.186628240431,1,233.128319171548,12,1,0,3
1013,1013,자양2동,127.089947077585,37.5303789082212,614.78427010373,0,238.73238859298,3,274.573177310535,6,211.39478389801,13,1,0,3
