,경도,위도,subway_최소거리(m),subway_idx,subway_idx_시설명,nearby_count,bus_최소거리(m),bus_idx,bus_idx_시설명,nearby_count,badplace_최소거리(m),badplace_idx,badplace_idx_시설명,nearby_count,badplace_최소거리(m),badplace_idx,badplace_idx_시설명,nearby_count,child_protection_최소거리(m),child_protection_idx,child_protection_idx_시설명,nearby_count,accident_최소거리(m),accident_idx,accident_idx_시설명,nearby_count,Unnamed: 0,행정동,경도,위도,주차장수,최소거리(m)
14,127.072821309527,37.55645745531103,602.3869777930254,7,어린이대공원(세종대),0,71.99421605129527,38,군자교남단,7,73.03404853111563,21,투다리,28,73.03404853111563,21,투다리,28,86.3490375194753,56,예지어린이집,3,1790.4542196459277,2,서울특별시 광진구 중곡동(신성시장 부근),0,299,군자동,127.072821309527,37.55645745531103,1.0,16.0
15,127.0741175762285,37.52761881765543,948.8685747217204,0,건대입구,0,219.30067150618652,84,신자초등학교앞,1,242.42612936136564,141,교촌치킨자양1호점,5,242.42612936136564,141,교촌치킨자양1호점,5,240.525741109478,4,신자초등학교,0,770.2455651802155,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,307,자양2동,127.0741175762285,37.52761881765543,1.0,38.0
16,127.0751419349383,37.5465509527035,111.99343112100235,7,어린이대공원(세종대),1,17.030310842974984,88,어린이대공원역3번출구,5,82.68518474516266,489,맥주 컴퍼니,36,82.68518474516266,489,맥주 컴퍼니,36,355.12255615044563,23,어린이회관유치원,1,1377.4588534558002,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,372,화양동,127.0751419349383,37.5465509527035,1.0,43.0
17,127.0751061206797,37.55286029223568,329.03899832753063,7,어린이대공원(세종대),0,106.8947182504556,74,세종초교앞,10,82.8952273763824,428,푸라닭군자점,19,82.8952273763824,428,푸라닭군자점,19,225.48323250340533,59,꿈동산몬테소리어린이집,2,1570.9221555490972,2,서울특별시 광진구 중곡동(신성시장 부근),0,379,군자동,127.0751061206797,37.55286029223568,1.0,49.0
18,127.07509588598292,37.554662959426665,448.86747846408883,7,어린이대공원(세종대),2,25.300624510364273,40,군자삼거리,11,38.68495015044957,428,푸라닭군자점,40,38.68495015044957,428,푸라닭군자점,40,132.90833836579384,59,꿈동산몬테소리어린이집,2,1550.2351825382104,2,서울특별시 광진구 중곡동(신성시장 부근),0,381,군자동,127.07509588598292,37.554662959426665,1.0,52.0
19,127.07635555699558,37.53213364525233,831.3371151942615,0,건대입구,0,91.40216653866469,108,자양미소약국.자양골목시장,7,22.596498108507017,234,피자나라 치킨공주,29,22.596498108507017,234,피자나라 치킨공주,29,103.01875440854283,52,선린어린이집,5,753.5194703253433,4,서울특별시 광진구 자양동(자양현대아파트 부근),0,402,자양2동,127.07635555699558,37.53213364525233,1.0,27.0
20,127.07635045862126,37.53303498223465,789.8492605343021,0,건대입구,0,85.46608836299994,108,자양미소약국.자양골목시장,10,25.784055635479326,313,역전할머니맥주,28,25.784055635479326,313,역전할머니맥주,28,67.02373322302395,52,선린어린이집,3,774.605186060761,4,서울특별시 광진구 자양동(자양현대아파트 부근),0,403,자양1동,127.07635045862126,37.53303498223465,2.0,66.0
21,127.07634536001984,37.53393631907848,750.9463048309,0,건대입구,0,54.04408957535382,112,자양중학교앞,11,73.54609945342771,313,역전할머니맥주,29,73.54609945342771,313,역전할머니맥주,29,75.43573391678346,52,선린어린이집,3,799.7217397521981,4,서울특별시 광진구 자양동(자양현대아파트 부근),0,404,자양1동,127.07634536001984,37.53393631907848,18.0,53.0
22,127.07634026119132,37.53483765578378,715.0502698040857,0,건대입구,0,25.572932536150415,112,자양중학교앞,12,132.18224941624564,313,역전할머니맥주,30,132.18224941624564,313,역전할머니맥주,30,78.59035870316201,26,대원(구.우성)유치원,3,828.5026171136775,4,서울특별시 광진구 자양동(자양현대아파트 부근),0,405,자양1동,127.07634026119132,37.53483765578378,6.0,46.0
23,127.07633516213562,37.53573899235058,682.635668059761,0,건대입구,0,75.53868741474982,112,자양중학교앞,11,159.52387908819898,35,맥스카나,23,159.52387908819898,35,맥스카나,23,108.93126024648159,26,대원(구.우성)유치원,2,860.5802490212039,4,서울특별시 광진구 자양동(자양현대아파트 부근),0,406,자양3동,127.07633516213562,37.53573899235058,21.0,45.0
