,경도,위도,subway_최소거리(m),subway_idx,subway_idx_시설명,500m지하철역개수,bus_최소거리(m),bus_idx,bus_idx_시설명,500m버스정류장개수,badplace_최소거리(m),badplace_idx,badplace_idx_시설명,500m술집개수,child_protection_최소거리(m),child_protection_idx,child_protection_idx_시설명,300m보호구역개수,accident_최소거리(m),accident_idx,accident_idx_시설명,200m내위험구역개수,parking_최소거리(m),parking_idx,parking_idx_시설명,500내주차장개수,Unnamed: 0,행정동,center_lat,center_lon,주차장수,최소거리(m)
514,127.07855322094,37.54385911716540,515.5365655441150,7,어린이대공원(세종대),0,141.89773298289500,91,어린이회관,3,217.33979676750300,9,사오정,7,203.9406029804160,1,구의초등학교,2,1121.070193663110,4,서울특별시 광진구 자양동(자양현대아파트 부근),0,283.4392120895320,342,유료,1,514,화양동,37.54385911716540,127.07855322094,0.0,0.0
515,127.07854814686800,37.5447604526092,484.98673669454,7,어린이대공원(세종대),1,105.10299896046400,91,어린이회관,4,193.97924129494200,9,사오정,8,169.0115170325940,23,어린이회관유치원,3,1176.4198663032100,4,서울특별시 광진구 자양동(자양현대아파트 부근),0,269.81114690715500,342,유료,1,515,화양동,37.5447604526092,127.07854814686800,0.0,0.0
516,127.07854307256900,37.54566178791450,460.39690819236300,7,어린이대공원(세종대),1,96.3230387916786,91,어린이회관,4,187.9858373601260,9,사오정,8,109.59478537797400,23,어린이회관유치원,1,1232.2537807484700,4,서울특별시 광진구 자양동(자양현대아파트 부근),0,269.40223970538300,342,유료,2,516,능동,37.54566178791450,127.07854307256900,0.0,0.0
517,127.07853799804500,37.546563123081200,442.76119913525000,7,어린이대공원(세종대),1,121.77611834122200,91,어린이회관,4,200.91980584298200,9,사오정,11,52.69500480622330,23,어린이회관유치원,1,1288.5089864913100,4,서울특별시 광진구 자양동(자양현대아파트 부근),0,282.2699353025570,342,유료,2,517,능동,37.546563123081200,127.07853799804500,0.0,0.0
518,127.07853292329400,37.547464458109500,432.93028084290400,7,어린이대공원(세종대),1,166.43473230001200,91,어린이회관,4,229.6044864284820,9,사오정,11,29.361993738017400,23,어린이회관유치원,1,1345.1326255285800,4,서울특별시 광진구 자양동(자양현대아파트 부근),0,306.74793884700300,342,유료,0,518,능동,37.547464458109500,127.07853292329400,0.0,0.0
519,127.07852784831800,37.54836579299920,431.4380060135780,7,어린이대공원(세종대),1,218.84106857227100,91,어린이회관,4,269.0483685224830,9,사오정,7,79.16502101851940,23,어린이회관유치원,1,1319.8635768418600,2,서울특별시 광진구 중곡동(신성시장 부근),0,340.34027931189100,342,유료,0,519,능동,37.54836579299920,127.07852784831800,0.0,0.0
520,127.0785227731150,37.54926712775040,438.36953417305900,7,어린이대공원(세종대),1,249.6777904139300,86,어린이대공원앞,5,315.23828411343300,9,사오정,3,137.81030186237300,23,어린이회관유치원,1,1291.9531918731200,2,서울특별시 광진구 중곡동(신성시장 부근),0,291.0087086169830,303,유료,0,520,능동,37.54926712775040,127.0785227731150,0.0,0.0
521,127.07851769768600,37.550168462363100,453.3386246312750,7,어린이대공원(세종대),1,207.96160465950800,86,어린이대공원앞,4,365.62640471214400,9,사오정,0,197.57494034585200,23,어린이회관유치원,0,1266.320543222790,2,서울특별시 광진구 중곡동(신성시장 부근),0,237.44947349336300,303,유료,0,521,능동,37.550168462363100,127.07851769768600,0.0,0.0
522,127.07851262203200,37.55106979683720,401.7490212811670,6,군자(능동),1,177.41602230946400,86,어린이대공원앞,4,314.637401249103,247,용식당,5,257.6812526147080,23,어린이회관유치원,0,1243.106536147460,2,서울특별시 광진구 중곡동(신성시장 부근),0,188.14429075633200,303,유료,4,522,능동,37.55106979683720,127.07851262203200,0.0,0.0
523,127.07850754615100,37.55197113117290,343.2887276336880,6,군자(능동),0,164.39051383738500,86,어린이대공원앞,6,254.65800670681300,247,용식당,27,317.9355062348230,23,어린이회관유치원,0,1222.4489642582200,2,서울특별시 광진구 중곡동(신성시장 부근),0,147.4249899959680,303,유료,11,523,능동,37.55197113117290,127.07850754615100,0.0,0.0
524,127.07850247004300,37.55287246537000,285.6778207711720,6,군자(능동),2,168.06382543845400,51,능동교회앞,10,194.99817561442600,247,용식당,42,335.79949892813400,59,꿈동산몬테소리어린이집,0,1204.479365663240,2,서울특별시 광진구 중곡동(신성시장 부근),0,124.05566165919100,303,유료,15,524,능동,37.55287246537000,127.07850247004300,0.0,0.0
525,127.0784973937100,37.553773799428600,229.55668259143400,6,군자(능동),2,178.0527201440950,51,능동교회앞,9,136.07884751668700,247,용식당,53,303.6147220454990,59,꿈동산몬테소리어린이집,0,1189.3195830634,2,서울특별시 광진구 중곡동(신성시장 부근),0,102.02109470081900,129,무료,16,525,능동,37.553773799428600,127.0784973937100,0.0,0.0
526,127.07849231715100,37.554675133348600,176.3533509171450,6,군자(능동),2,144.39103243869600,43,군자역,10,79.56247395319910,247,용식당,55,280.9300642799220,59,꿈동산몬테소리어린이집,1,1177.0781832078600,2,서울특별시 광진구 중곡동(신성시장 부근),0,92.14217214704150,129,무료,17,526,능동,37.554675133348600,127.07849231715100,0.0,0.0
527,127.07848724036500,37.55557646713020,129.70934041655200,6,군자(능동),2,99.54755608489020,43,군자역,10,38.24246579693340,247,용식당,57,270.14940743245900,59,꿈동산몬테소리어린이집,1,1167.8469388727800,2,서울특별시 광진구 중곡동(신성시장 부근),0,110.9560412044380,124,무료,14,527,군자동,37.55557646713020,127.07848724036500,0.0,0.0
528,127.07848216335400,37.55647780077320,99.33926964446530,6,군자(능동),2,79.31206809201440,43,군자역,11,8.472336648860760,140,샘터,57,272.6882790617900,59,꿈동산몬테소리어린이집,1,1161.6976089106200,2,서울특별시 광진구 중곡동(신성시장 부근),0,141.52471079209000,124,무료,8,528,군자동,37.55647780077320,127.07848216335400,0.0,0.0
529,127.07847708611600,37.557379134277600,101.15251367129100,6,군자(능동),2,99.95413474232710,43,군자역,9,50.51222927102770,69,얼맥당 군자점,58,288.1948659483960,59,꿈동산몬테소리어린이집,1,1158.6792607338600,2,서울특별시 광진구 중곡동(신성시장 부근),0,187.2610148676360,124,무료,6,529,군자동,37.557379134277600,127.07847708611600,0.0,0.0
