,Unnamed: 0,행정동,경도,위도,subway_최소거리(m),500m지하철역개수,bus_최소거리(m),500m버스정류장개수,badplace_최소거리(m),500m술집개수,parking_최소거리(m),500내주차장개수,300m보호구역여부,200m위험구역여부
1366,1366,광장동,127.097792079046,37.544827568892,643.989982273499,0,41.0971675301759,8,225.980274417098,8,440.07510862794095,0,1,0
1367,1367,구의2동,127.09778723643,37.5457289063689,644.372234713213,0,34.575118726537,6,261.413144823231,8,429.94693209181696,0,1,0
1368,1368,구의2동,127.097782393598,37.5466302437072,650.411568003222,0,89.5995482982483,4,304.849185501588,7,428.216584735681,0,1,0
1369,1369,구의2동,127.09777755055,37.5475315809071,661.95315867412,0,148.952650479987,3,353.349203357648,2,391.05315315125296,0,1,0
1370,1370,구의2동,127.097772707287,37.5484329179686,678.716362390454,0,208.978161943654,3,405.098416893414,0,331.013177416107,0,1,0
1371,1371,구의2동,127.097767863807,37.5493342548915,700.326317462317,0,269.226695468757,3,375.93248834454,0,271.188035248533,0,1,0
1372,1372,구의2동,127.097763020112,37.550235591676,726.350555578561,0,329.575955554876,1,320.498893590382,1,211.759871911132,0,1,0
1373,1373,구의2동,127.097758176202,37.551136928322094,756.333544673148,0,389.97917533498,4,267.282175934112,4,153.191372267278,1,1,0
1374,1374,구의2동,127.097753332075,37.5520382648296,789.824568366377,0,427.262828886763,3,217.912579668093,8,97.0515546678201,5,1,0
1375,1375,구의2동,127.097748487733,37.5529396011987,826.397227629459,0,410.574574660599,3,175.66424636854,9,51.92745684939511,6,1,0
1376,1376,구의2동,127.097743643175,37.5538409374293,865.661026125767,0,402.3865360366,3,146.819143987441,9,57.4452810589242,6,1,0
1377,1377,구의2동,127.097738798401,37.554742273521505,907.26663445511,0,403.216874983951,3,139.927436157423,9,105.9693216521,6,1,0
1378,1378,구의2동,127.097733953411,37.555643609475105,926.373529357269,0,413.011195080865,3,157.890470707146,9,162.742328435884,2,1,0
1379,1379,구의2동,127.097729108205,37.5565449452903,944.98221425329,0,377.437446194696,5,193.920074606561,8,221.509953633225,1,1,0
1380,1380,구의2동,127.097724262784,37.557446280967,967.026136131408,0,331.637670870142,6,240.013469251833,6,264.950920941224,0,0,0
