,사업장명,경도,위도
108,건대 고기굽는놈 서울본점,127.06943927603022,37.54132402580589
109,풀코스,127.07130537791555,37.551571374518666
110,에스(S),127.08574828062122,37.5380315922519
111,해프닝,127.08884576267329,37.55898536476516
112,째즈클럽,127.08533898862095,37.537635441518546
113,요비,127.06890502353886,37.54229349239292
114,퍼즈(Pause),127.0846311843106,37.53744862345481
115,드라마,127.08151266695785,37.56608114758636
116,술찬당 2호점,127.07057744768218,37.54213662657593
117,두리두리,127.07646131029709,37.55493931057311
118,한잔의술 건대점,127.07066974569159,37.54183982865248
119,한잔의술 건대직영점,127.07066974569159,37.54183982865248
120,꽃피는산골,127.08943210048265,37.55368441983416
121,노가리하우스,127.08073684067816,37.55474063687737
122,코코,127.07904025862095,37.56155795979122
123,킹덤(Kingdom),127.08402449342609,37.53763447457305
