,행정동,경도,위도,주차장수,최소거리(m)
871,자양2동,127.08651691132194,37.53667643638574,1.0,32.0
884,구의2동,127.08645219426784,37.54839381253941,2.0,25.0
887,능동,127.0864372542399,37.55109781909716,1.0,61.0
888,능동,127.08643227378684,37.5519991543394,4.0,50.0
889,능동,127.08642729311194,37.55290048944314,1.0,40.0
890,능동,127.08642231221512,37.553801824408374,3.0,50.0
896,중곡2동,127.08639242217411,37.55920983129118,1.0,14.0
897,중곡2동,127.08638743972382,37.56011116528684,9.0,10.0
914,자양2동,127.08768352127156,37.53037102712036,1.0,18.0
923,구의1동,127.08763885770644,37.53848306913506,1.0,31.0
931,구의2동,127.08759914172424,37.54569376373134,2.0,53.0
934,구의2동,127.08758424458148,37.54839777191986,2.0,31.0
938,능동,127.08756437862726,37.552003114232285,6.0,26.0
939,능동,127.08755941158556,37.552904449464144,4.0,43.0
940,능동,127.08755444432258,37.5538057845575,1.0,59.0
944,중곡2동,127.08753457305764,37.5574111235459,1.0,51.0
946,중곡2동,127.08752463609724,37.55921379220906,3.0,20.0
947,중곡4동,127.087519667285,37.56011512633288,1.0,67.0
979,구의1동,127.08874105443677,37.543895038802184,1.0,41.0
1000,중곡4동,127.08863702822052,37.56282307844533,1.0,47.0
1008,중곡4동,127.0885973735798,37.57003374414745,1.0,35.0
1032,구의2동,127.0898532845469,37.54750432194298,1.0,59.0
1038,중곡4동,127.089823649196,37.55291233694256,1.0,35.0
1042,중곡4동,127.08980388789423,37.556517677505745,1.0,28.0
1043,중곡4동,127.08979894701858,37.55741901230028,8.0,45.0
1055,중곡4동,127.08973963933845,37.568235019031434,1.0,32.0
1064,자양2동,127.0910640927796,37.53308684890027,8.0,52.0
1065,구의3동,127.09105917124378,37.53398818742244,10.0,46.0
1071,구의3동,127.09102963742458,37.539396215647535,1.0,43.0
1084,구의2동,127.09096562039625,37.55111359303329,1.0,20.0
1090,중곡4동,127.09093606156893,37.55652160547142,3.0,19.0
1095,중곡4동,127.09091142317672,37.56102827869453,1.0,31.0
1110,구의3동,127.09220572751808,37.53128808500322,11.0,40.0
1112,구의3동,127.09219591234336,37.533090762716206,5.0,62.0
1135,구의2동,127.09208297495914,37.55382151660514,1.0,59.0
1137,중곡4동,127.09207314884732,37.5556241873943,6.0,41.0
1138,중곡4동,127.0920682354631,37.55652552258115,4.0,56.0
1139,중곡4동,127.09206332186,37.55742685762948,4.0,45.0
1141,중곡4동,127.09205349399708,37.5592295273107,1.0,3.0
1181,구의2동,127.09322000726068,37.552924086751126,1.0,33.0
1182,구의2동,127.09321510816694,37.5538254224798,1.0,27.0
1183,구의2동,127.09321020885494,37.55472675807,1.0,47.0
1184,중곡4동,127.0932053093247,37.555628093521705,5.0,49.0
1236,중곡4동,127.09431792426294,37.559237329719465,5.0,23.0
1277,구의2동,127.09548424706269,37.55293186568406,3.0,49.0
1278,구의2동,127.09547937523668,37.55383320166441,1.0,40.0
1279,구의2동,127.0954745031937,37.55473453750628,1.0,46.0
1286,중곡4동,127.09544039281477,37.561043884521744,1.0,35.0
1336,중곡4동,127.09656777562826,37.56194909369355,3.0,47.0
1375,구의2동,127.09774848773276,37.5529396011987,1.0,54.0
1510,광장동,127.10117846995836,37.54664176296069,1.0,46.0
1644,광장동,127.1056970792736,37.54845964602606,1.0,29.0
