,행정동,center_lat,center_lon,주차장수,최소거리(m)
130,화양동,37.54291683913691,127.06723863755212,0.0,0.0
131,화양동,37.5438181733945,127.06723342743577,0.0,0.0
132,화양동,37.54471950751354,127.06722821708728,0.0,0.0
133,화양동,37.54562084149402,127.06722300650668,0.0,0.0
134,화양동,37.54652217533598,127.06721779569396,0.0,0.0
135,화양동,37.54742350903937,127.06721258464913,0.0,0.0
136,자양3동,37.52489426528428,127.06847448343252,0.0,0.0
137,자양3동,37.52579560244651,127.0684692915707,0.0,0.0
138,자양3동,37.52669693947023,127.0684640994776,0.0,0.0
139,자양3동,37.527598276355434,127.0684589071532,0.0,0.0
140,자양3동,37.52849961310212,127.06845371459754,0.0,0.0
141,자양3동,37.52940094971027,127.06844852181054,0.0,0.0
142,자양3동,37.5303022861799,127.0684433287922,0.0,0.0
143,자양3동,37.53120362251099,127.06843813554258,0.0,0.0
144,자양3동,37.53210495870358,127.0684329420616,0.0,0.0
145,자양3동,37.533006294757634,127.06842774834924,0.0,0.0
146,자양3동,37.53390763067315,127.06842255440554,0.0,0.0
147,자양3동,37.53480896645016,127.06841736023048,0.0,0.0
148,자양4동,37.53571030208862,127.068412165824,0.0,0.0
149,자양4동,37.53661163758855,127.06840697118616,0.0,0.0
150,자양4동,37.53751297294995,127.06840177631688,0.0,0.0
151,자양4동,37.538414308172825,127.0683965812162,1.0,31.0
152,자양4동,37.53931564325714,127.06839138588408,0.0,0.0
153,자양4동,37.540216978202935,127.06838619032054,0.0,0.0
154,화양동,37.54111831301019,127.06838099452554,0.0,0.0
155,화양동,37.542019647678906,127.06837579849908,0.0,0.0
156,화양동,37.54292098220908,127.06837060224112,0.0,0.0
157,화양동,37.543822316600725,127.06836540575172,0.0,0.0
158,화양동,37.54472365085381,127.06836020903084,0.0,0.0
159,화양동,37.54562498496837,127.06835501207838,0.0,0.0
160,화양동,37.54652631894437,127.06834981489446,0.0,0.0
161,화양동,37.54742765278182,127.068344617479,0.0,0.0
