법정동코드,주소,새주소-도로명,일반인이용,경도,위도,법정동명
10200,서울특별시 광진구 능동 320-50,천호대로110길,일반인 개방,127.078753,37.554189,능동
10200,서울특별시 광진구 능동 320-54,능동로30길,일반인 개방,127.078813,37.553888,능동
10200,서울특별시 광진구 능동 320-57,능동로30길,일반인 개방,127.078972,37.5538011,능동
10200,서울특별시 광진구 능동 320-48,천호대로110길,일반인 개방,127.078996,37.554108,능동
10200,서울특별시 광진구 능동 320-5 레나8,능동로32길,일반인 개방,127.079389,37.554177,능동
10200,서울특별시 광진구 능동 320-75 GEO VILL,능동로32길,일반인 개방,127.079457,37.554265,능동
10200,서울특별시 광진구 능동 320-76,능동로32길,일반인 개방,127.079513,37.554364,능동
10200,서울특별시 광진구 능동 247-8 골든 133,능동로36길,일반인 개방,127.086142,37.553924,능동
10200,서울특별시 광진구 능동 247-14 갤러리홈스타,능동로36길,일반인 개방,127.086011,37.553977,능동
10200,서울특별시 광진구 능동 247-9,능동로36길,일반인 개방,127.085858,37.554033,능동
10200,서울특별시 광진구 능동 247-10 성심하이츠,능동로36길,일반인 개방,127.085696,37.554102,능동
10200,서울특별시 광진구 능동 248-34,능동로36길,일반인 개방,127.08617,37.553483,능동
10200,서울특별시 광진구 능동 248-29,능동로36길,일반인 개방,127.085879,37.55373,능동
10200,서울특별시 광진구 능동 248-28,능동로36길,일반인 개방,127.085809,37.55362,능동
10200,서울특별시 광진구 능동 234-31,능동로32길,일반인 개방,127.081802,37.554445,능동
10200,서울특별시 광진구 능동 234-5,능동로34길,일반인 개방,127.081885,37.554671,능동
10200,서울특별시 광진구 능동 234-8,능동로34길,일반인 개방,127.081984,37.554573,능동
10200,서울특별시 광진구 능동 234-7,능동로34길,일반인 개방,127.082048,37.554644,능동
10200,서울특별시 광진구 능동 239-38,능동로32길,일반인 개방,127.082419,37.554188,능동
10200,서울특별시 광진구 능동 235-20,능동로36길,일반인 개방,127.082376,37.555115,능동
10200,서울특별시 광진구 능동 235-25 라온 하우스,천호대로114길,일반인 개방,127.08222,37.555024,능동
10200,서울특별시 광진구 능동 235-26 WARM HOUSE,천호대로114길,일반인 개방,127.082308,37.554989,능동
10200,서울특별시 광진구 능동 252-39,천호대로120길,일반인 개방,127.085992,37.552447,능동
10200,서울특별시 광진구 능동 375-1,천호대로112길,일반인 개방,127.079744,37.553476,능동
10200,서울특별시 광진구 능동 232-16,천호대로112길,일반인 개방,127.080799,37.553973,능동
10200,서울특별시 광진구 능동 283-11,천호대로110길,일반인 개방,127.078302,37.553785,능동
10200,서울특별시 광진구 능동 395 능마루,능동로28길,일반인 개방,127.078816,37.553116,능동
10200,서울특별시 광진구 능동 389-2,능동로30길,일반인 개방,127.0795,37.552985,능동
10200,서울특별시 광진구 능동 279-4 능동빌딩,능동로,일반인 개방,127.079119,37.555861,능동
10200,서울특별시 광진구 능동 279-5 삼일빌딩,능동로,일반인 개방,127.078993,37.555597,능동
10200,서울특별시 광진구 능동 221-5,능동로32길,일반인 개방,127.079117,37.555335,능동
10200,서울특별시 광진구 능동 221-13,천호대로110길,일반인 개방,127.079285,37.555512,능동
10200,서울특별시 광진구 능동 239-23,능동로34길,일반인 개방,127.082976,37.554207,능동
10200,서울특별시 광진구 능동 239-3,능동로34길,일반인 개방,127.083081,37.55416,능동
10200,서울특별시 광진구 능동 239-4,능동로34길,일반인 개방,127.083186,37.554104,능동
10200,서울특별시 광진구 능동 238-15,능동로34길,일반인 개방,127.083263,37.554323,능동
10200,서울특별시 광진구 능동 245-21,천호대로116길,일반인 개방,127.083881,37.554113,능동
10200,서울특별시 광진구 능동 245-20,천호대로116길,일반인 개방,127.083934,37.554201,능동
10200,서울특별시 광진구 능동 176,능동로32길,일반인 개방,127.08172,37.552706,능동
10200,서울특별시 광진구 능동 171,천호대로116길,일반인 개방,127.081163,37.552798,능동
10200,서울특별시 광진구 능동 170,천호대로116길,일반인 개방,127.081227,37.552943,능동
10200,서울특별시 광진구 능동 167,천호대로116길,일반인 개방,127.080906,37.553056,능동
10200,서울특별시 광진구 능동 165,천호대로116길,일반인 개방,127.081014,37.553196,능동
10200,서울특별시 광진구 능동 164-1,천호대로116길,일반인 개방,127.081196,37.553219,능동
10200,서울특별시 광진구 능동 164 부광주택,천호대로116길,일반인 개방,127.081292,37.553294,능동
10200,서울특별시 광진구 능동 163-4,천호대로116길,일반인 개방,127.081212,37.553422,능동
10200,서울특별시 광진구 능동 158,천호대로116길,일반인 개방,127.080982,37.553377,능동
10200,서울특별시 광진구 능동 135-12,천호대로116길,일반인 개방,127.0819,37.552333,능동
10200,서울특별시 광진구 능동 135-10,천호대로116길,일반인 개방,127.082117,37.552312,능동
10200,서울특별시 광진구 능동 232-17,천호대로112길,일반인 개방,127.08087,37.554099,능동
10200,서울특별시 광진구 능동 232-18,천호대로112길,일반인 개방,127.080956,37.554241,능동
10200,서울특별시 광진구 능동 253-2,능동로34길,일반인 개방,127.086755,37.552716,능동
10200,서울특별시 광진구 능동 254-25 늘푸른집,능동로34길,일반인 개방,127.086852,37.553018,능동
10200,서울특별시 광진구 능동 283-1 청운빌라,능동로30길,일반인 개방,127.078433,37.55409,능동
10200,서울특별시 광진구 능동 314-8 금선빌라트,능동로24길,일반인 개방,127.078013,37.552058,능동
10200,서울특별시 광진구 능동 314-3,천호대로110길,일반인 개방,127.078025,37.552447,능동
10200,서울특별시 광진구 능동 315-5,천호대로110길,일반인 개방,127.077705,37.552518,능동
10200,서울특별시 광진구 능동 315-1,능동로26길,일반인 개방,127.077701,37.552669,능동
10200,서울특별시 광진구 능동 314-2 다우하우스,천호대로110길,일반인 개방,127.07807,37.552588,능동
10200,서울특별시 광진구 능동 312-5,천호대로110길,일반인 개방,127.078171,37.552784,능동
10200,서울특별시 광진구 능동 283-38 한미빌딩,천호대로110길,일반인 개방,127.077891,37.552879,능동
