법정동코드,주소,새주소-도로명,유무료,경도,위도,법정동명
10100,서울특별시 광진구 중곡동 107-41,영화사로,유료,127.092444,37.555523,중곡동
10100,서울특별시 광진구 중곡동 99-11,영화사로,유료,127.092089,37.555852,중곡동
10100,서울특별시 광진구 중곡동 88-37,영화사로,유료,127.090982,37.556634,중곡동
10100,서울특별시 광진구 중곡동 39-40,긴고랑로,유료,127.084665,37.561033,중곡동
10100,서울특별시 광진구 중곡동 39-40,긴고랑로,유료,127.08495,37.560871,중곡동
10100,서울특별시 광진구 중곡동 55-1,긴고랑로,유료,127.086535,37.559913,중곡동
10100,서울특별시 광진구 중곡동 55-1,긴고랑로,유료,127.086726,37.559829,중곡동
10100,서울특별시 광진구 중곡동 125-1,긴고랑로,유료,127.087061,37.559652,중곡동
10100,서울특별시 광진구 중곡동 107-22,영화사로,유료,127.092839,37.555293,중곡동
10100,서울특별시 광진구 중곡동 99-9 박빌딩,영화사로,유료,127.091968,37.555927,중곡동
10100,서울특별시 광진구 중곡동 150-214 우석빌라,긴고랑로,유료,127.086393,37.560015,중곡동
10100,서울특별시 광진구 중곡동 276-9,긴고랑로30길,유료,127.087112,37.557727,중곡동
10100,서울특별시 광진구 중곡동 127-5,천호대로123길,유료,127.086269,37.55912,중곡동
10100,서울특별시 광진구 중곡동 128-10,천호대로117길,유료,127.085425,37.558626,중곡동
10100,서울특별시 광진구 중곡동 53-1,천호대로113길,유료,127.084131,37.559102,중곡동
10100,서울특별시 광진구 중곡동 53-2,천호대로113길,유료,127.084115,37.559076,중곡동
10100,서울특별시 광진구 중곡동 267-4,동일로72길,유료,127.078666,37.566476,중곡동
10100,서울특별시 광진구 중곡동 190-30 경지아리움,긴고랑로1길,유료,127.079179,37.567551,중곡동
10100,서울특별시 광진구 중곡동 38-17,긴고랑로,유료,127.084188,37.561391,중곡동
10100,서울특별시 광진구 중곡동 39-51,긴고랑로,유료,127.083272,37.561933,중곡동
10100,서울특별시 광진구 중곡동 39-51,긴고랑로,유료,127.083146,37.562007,중곡동
10100,서울특별시 광진구 중곡동 39-51,긴고랑로,유료,127.083069,37.562055,중곡동
10100,서울특별시 광진구 중곡동 39-51,긴고랑로,유료,127.082885,37.562143,중곡동
10100,서울특별시 광진구 중곡동 39-51,긴고랑로,유료,127.082791,37.562195,중곡동
10100,서울특별시 광진구 중곡동 39-51,긴고랑로,유료,127.082709,37.562268,중곡동
10100,서울특별시 광진구 중곡동 39-51,긴고랑로,유료,127.082595,37.562319,중곡동
10100,서울특별시 광진구 중곡동 150-405,용마산로8가길,유료,127.088462,37.562414,중곡동
10100,서울특별시 광진구 중곡동 467-2,용마산로4길,유료,127.089483,37.556479,중곡동
10100,서울특별시 광진구 중곡동 107-22,영화사로,유료,127.092944,37.555219,중곡동
10100,서울특별시 광진구 중곡동 107-22,영화사로,유료,127.09305,37.555134,중곡동
10100,서울특별시 광진구 중곡동 107-22,영화사로,유료,127.092722,37.555388,중곡동
10100,서울특별시 광진구 중곡동 107-22,영화사로,유료,127.092781,37.555331,중곡동
10100,서울특별시 광진구 중곡동 107-41,영화사로,유료,127.092534,37.555488,중곡동
10100,서울특별시 광진구 중곡동 143-146,긴고랑로214,유료,127.096106,37.56226,중곡동
10100,서울특별시 광진구 중곡동 143-146,긴고랑로214,유료,127.096097,37.562154,중곡동
10100,서울특별시 광진구 중곡동 143-146,긴고랑로214,유료,127.096047,37.562069,중곡동
10100,서울특별시 광진구 중곡동 438-3,긴고랑로,유료,127.093989,37.559032,중곡동
10100,서울특별시 광진구 중곡동 437-6,긴고랑로,유료,127.094212,37.559206,중곡동
