역명,X좌표,Y좌표,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수
기원정사입구,127.0930863656,37.55502818705,0,0,0,0,0,0,0,0,0,0,4,1,884,86,1921,155,1588,285,1138,359,1084,433,958,447,805,534,764,513,746,569,616,916,738,1080,660,880,613,1143,449,1079,302,952,212,844,159,1046,78,580
긴고랑입구,127.088668757,37.5588067163,0,0,0,0,0,0,0,0,0,0,0,0,82,71,127,65,117,104,124,70,96,65,74,75,79,65,79,94,84,98,110,110,117,109,95,150,98,154,74,173,38,88,23,66,18,48,0,0
긴고랑종점,127.0960429247,37.562194465,0,0,0,0,0,0,0,0,0,0,40,13,100,22,158,24,140,155,84,73,73,134,146,107,191,78,235,64,206,88,147,45,212,43,124,45,118,24,32,59,13,40,20,25,4,10,0,0
긴고랑주차장,127.0956309346,37.5609606399,0,0,0,0,0,0,0,0,0,0,0,0,42,0,214,0,156,0,126,0,78,2,72,0,32,0,32,0,27,0,24,0,29,1,32,0,17,0,18,0,8,0,2,0,30,0,0,0
노룬산시장앞,127.06292202354999,37.5367063117,78,188,3,8,0,0,0,0,421,106,432,591,592,578,1309,561,1514,892,1282,708,813,676,771,562,856,669,939,702,857,866,1057,833,1198,1035,1368,1078,1337,1302,1182,1050,949,891,962,923,783,915,339,485
능동교회앞,127.0769927342,37.5528739948,86,57,20,20,20,16,10,10,13,2,321,246,503,179,1428,398,1338,1419,898,1066,793,801,939,631,878,682,920,819,828,694,836,667,833,581,931,587,1123,715,575,456,446,379,308,300,280,321,164,201
능동우편취급국,127.0760329007,37.5561609072,46,221,5,45,0,0,0,0,0,0,19,54,60,136,193,339,166,355,221,259,152,265,143,186,166,233,131,255,132,258,150,326,164,460,175,502,155,629,99,502,114,398,63,390,80,353,59,242
대동아파트앞,127.068967,37.536419,17,79,0,5,0,0,0,0,3,35,73,183,188,208,419,289,577,570,495,550,249,478,227,641,246,635,254,749,232,761,261,793,260,956,330,1018,341,1195,283,879,212,636,216,619,174,650,143,371
대순진리회앞.구.새마을금고,127.0875676658,37.5609548433,0,0,0,0,0,0,0,0,0,0,0,0,5,43,38,662,96,253,83,97,20,121,21,148,12,144,11,131,12,111,10,159,10,208,13,200,14,322,10,293,2,216,1,189,4,193,2,165
대원고교앞,127.08683836835,37.56408262465,105,106,0,0,0,0,0,0,95,54,376,300,810,320,1509,1156,1649,1375,1574,642,1131,601,874,537,927,645,1044,689,1271,686,1794,900,3900,1105,1792,1162,1477,1221,1202,1193,775,853,936,767,1092,750,212,426
대원외고앞,127.0871413296,37.5632448358,0,0,0,0,0,0,0,0,0,0,0,0,1,80,6,1072,4,368,9,235,2,189,1,165,3,211,0,235,4,198,0,258,4,285,4,295,1,324,2,257,2,180,0,163,0,139,0,77
동곡삼거리,127.07810816825,37.56373803475,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,31,5,132,6,71,3,78,9,80,3,72,2,109,2,103,3,170,7,172,2,152,5,175,5,181,1,154,6,171,0,140,2,40
동서울우편집중국앞,127.084337729,37.5350521104,128,212,28,103,6,14,5,17,202,142,322,322,338,507,578,1360,650,2525,548,1310,479,869,526,868,530,913,629,1024,643,1001,643,1152,772,1222,905,1463,1225,2134,737,1442,573,1086,543,930,690,1002,686,425
동서울호텔앞,127.0920490446,37.5345920961,0,0,0,0,0,0,0,0,0,0,0,0,62,10,225,22,315,79,392,31,325,23,303,23,376,31,411,36,406,49,428,46,395,49,543,78,656,115,452,85,436,63,397,63,341,46,183,36
뚝도변전소앞,127.0689075815,37.5360909985,147,85,10,12,0,0,0,0,37,29,165,252,240,592,782,1634,1047,1679,755,1016,632,713,649,747,738,810,782,958,778,990,904,999,1157,1193,1109,1268,1257,1496,1186,1174,944,929,848,813,797,730,533,446
래미안구의파크스위트,127.0890314678,37.54483985295,84,463,11,39,0,0,0,0,80,1,323,48,864,252,1906,420,2178,1064,1501,756,966,535,921,648,1010,701,1106,840,880,862,903,1149,1038,1389,1119,1427,1392,1972,887,1665,547,1316,497,1152,373,1221,269,824
래미안구의파크스위트사거리,127.0905321754,37.5440895274,0,0,0,0,0,0,0,0,0,0,0,0,304,22,969,164,1559,322,683,168,456,183,357,153,356,164,342,242,273,256,314,319,337,319,257,383,279,717,204,459,104,299,70,240,69,256,43,129
